MARTTB1,CA_000442_3388_00
MMEREN1,CA_000392_2610_00
MSAFBF1,CA_000877_59324_00
MNYNME1,CA_000442_3396_00
MMSELL1,CA_000532_458_00
MALTLH1,CA_000532_997_00
SSLEEP1S1E1,CA_000428_47324_00
SSLEEP1S1E2,CA_000428_47325_00
SSLEEP1S1E3,CA_000428_47326_00
SSLEEP1S1E4,CA_000428_47327_00
MACLTA1,CA_000532_1733_00
MASDCH1,CA_000532_490_00
MAABLI1,CA_000506_1353_00
MAARDG1,CA_000532_1685_00
MPEREN1,CA_000392_2624_00
MPDHAD1,CA_000442_3393_00
SCSPIL1S1E1,CA_000120_39391_00
SCSPIL1S1E2,CA_000120_39392_00
SCSPIL1S1E3,CA_000120_39394_00
SCSPIL1S1E4,CA_000120_39395_00
SCSPIL1S1E5,CA_000120_39397_00
SCSPIL1S1E6,CA_000120_39393_00
SFLINT1S1E1,CA_000484_45503_00
SFLINT1S1E2,CA_000484_45504_00
SFLINT1S1E3,CA_000484_45505_00
SFLINT1S1E4,CA_000484_45506_00
MWCFLY1,CA_000120_3082_00
MABULE1,CA_000013_3326_00
MCURUG1,CA_000786_628_00
MADCOM1,CA_000532_500_00
MCMBAI1,CA_000532_1358_00
MBANBO1,CA_000877_59308_00
STDAFT1S2E1,CA_000428_47300_00
STDAFT1S2E2,CA_000428_47301_00
STDAFT1S2E3,CA_000428_47302_00
STDAFT1S2E4,CA_000428_47303_00
STDAFT1S2E5,CA_000428_47304_00
STDAFT1S2E6,CA_000428_47305_00
STDAFT1S2E7,CA_000428_47306_00
STDAFT1S2E8,CA_000428_47307_00
STDAFT1S2E9,CA_000428_47308_00
STDAFT1S2E10,CA_000428_47309_00
STDAFT1S2E11,CA_000428_47310_00
STDAFT1S2E12,CA_000428_47311_00
STDAFT1S3E1,CA_000428_47312_00
STDAFT1S3E2,CA_000428_47313_00
STDAFT1S3E3,CA_000428_47314_00
STDAFT1S3E4,CA_000428_47315_00
STDAFT1S3E5,CA_000428_47316_00
STDAFT1S3E6,CA_000428_47317_00
STDAFT1S3E7,CA_000428_47318_00
STDAFT1S3E8,CA_000428_47319_00
STDAFT1S3E9,CA_000428_47320_00
STDAFT1S3E10,CA_000428_47321_00
STDAFT1S3E11,CA_000428_47322_00
STDAFT1S3E12,CA_000428_47323_00
STDAFT1S1E1,CA_000428_47288_00
STDAFT1S1E2,CA_000428_47289_00
STDAFT1S1E3,CA_000428_47290_00
STDAFT1S1E4,CA_000428_47291_00
STDAFT1S1E5,CA_000428_47292_00
STDAFT1S1E6,CA_000428_47293_00
STDAFT1S1E7,CA_000428_47294_00
STDAFT1S1E8,CA_000428_47295_00
STDAFT1S1E9,CA_000428_47296_00
STDAFT1S1E10,CA_000428_47297_00
STDAFT1S1E11,CA_000428_47298_00
STDAFT1S1E12,CA_000428_47299_00
,CA_000120_39396_00
,CA_000120_39399_00
,CA_000120_39398_00
,CA_000120_39400_00
,CA_000120_39401_00
,CA_000120_39402_00
,CA_000120_39403_00
,CA_000120_39406_00
,CA_000120_45032_00
,CA_000120_45033_00
,CA_000120_45034_00
,CA_000120_45035_00
,CA_000120_45036_00
SDETUR1S3E1,CA_999387_35758_00
SDETUR1S3E2,CA_999387_35846_00
SDETUR1S3E3,CA_999387_35870_00
SDETUR1S3E4,CA_999387_35745_00
SDETUR1S3E5,CA_999387_35756_00
SDETUR1S3E6,CA_999387_35855_00
SDETUR1S3E7,CA_999387_35871_00
